Collection Name,Block Number,Transaction Hash,Genesis Token Name,Virtual Price (USDC),Genesis Price (Virtual),Genesis Price (USDC)
afath_swap,31657505,0x2fb9ace82fc3e2074eba87b9dfce5990b843fbe1245b58bb8fa3450d668a3f58,AFATH,1.98522673,8.118e-05,0.00016115
afath_swap,31657507,0xd8ef0ff0859f3bf557dfc1fdc68854bdddfff47d2679df995b07534bd0e1d1fc,AFATH,1.98522673,8.035e-05,0.00015951
afath_swap,31657507,0xd8ef0ff0859f3bf557dfc1fdc68854bdddfff47d2679df995b07534bd0e1d1fc,AFATH,1.98522673,8.073e-05,0.00016027
afath_swap,31657511,0xd86c52e036a418dc446f513ec89992a6be14222644a24a51ba3e4f026b0defeb,AFATH,1.98522673,7.997e-05,0.00015876
afath_swap,31657515,0x025d0f12caa35300a08a0d7df4df7a3a3e0c57e40b39bcbfac5a9c472479728c,AFATH,1.98497673,7.981e-05,0.00015842
afath_swap,31657516,0xb4088cb629857dc86d5e162fb8f35ca42d564ce73b345a22426af5300943b9f1,AFATH,1.98497673,7.818e-05,0.00015518
afath_swap,31657522,0xc5ec4adc3589aec4a09424c1c99aa60c10c7f7a5dd1b155a4abebc6acbf7fe7f,AFATH,1.98497673,7.724e-05,0.00015333
afath_swap,31657524,0xea3471803a1e6669686694d9f27fdd7abb351dbf60233973bc80aee5a29936d3,AFATH,1.98497673,7.544e-05,0.00014974
afath_swap,31657532,0xe828ae344519f2f6f008e289076c7d3672b6aff5b6fe9058970deac6f1a6f978,AFATH,1.98497673,7.401e-05,0.00014691
afath_swap,31657542,0xf7a756d31bf02b5ad5cf57df5a9b9e0066aa4da0ada2dfabcdb811cbe9f41049,AFATH,1.98208122,7.45e-05,0.00014766
afath_swap,31657542,0x6b9b693f1eec4c483c8bf0f547a9b77b8fd9b869bfb18e45ac4328383cdb97d5,AFATH,1.98208122,7.4e-05,0.00014668
afath_swap,31657543,0x6085e85433e6c25136fee7257399f1e20b520a618ebbdcc782e41cfc3853d013,AFATH,1.98182695,7.388e-05,0.00014642
afath_swap,31657550,0x131d21f0f54c8a6cb79b0858e0d0deafc8f4062debff998ac7764431dff82b68,AFATH,1.98182695,7.254e-05,0.00014377
afath_swap,31657555,0xb4d9c5961cd208a165a0f0e56ea0a67475fdddff17a81832f36fc437f968d744,AFATH,1.98182695,6.996e-05,0.00013865
afath_swap,31657561,0x921aa5eb540053119ef921bee578c6fabd67a5786d2b50d34646a7eda0f866ca,AFATH,1.98182695,6.869e-05,0.00013613
afath_swap,31657561,0x445d3d9d8d278dc1f85f5d0ec778ecd1b6a4c2fd9b205a5218c117c3b28cd729,AFATH,1.98182695,6.907e-05,0.00013689
afath_swap,31657562,0x63f4163cc9a3207fc496133ea69964b81e5d04721719b6ae601309eb07501380,AFATH,1.98182695,6.915e-05,0.00013704
afath_swap,31657563,0xd3283815eb60f0850a5ce4d48117f5de7fe19d25c01beee742efd4d748e74a70,AFATH,1.98182695,6.858e-05,0.00013592
afath_swap,31657564,0x59e274616a2bb17995174ffa73efda235b8165b226ce25dc6c496114514858b2,AFATH,1.98182695,6.877e-05,0.00013628
afath_swap,31657571,0x813250458fe01bb34d682be59986c0328d751d3c86a8ed11fa2a198bf8138743,AFATH,1.98182695,6.835e-05,0.00013545
afath_swap,31657573,0x9811cbc4c5e99afcde276a2d04a016375e7d5d47484dcf1f1c5d2bd02b8efc9a,AFATH,1.98182695,6.923e-05,0.0001372
afath_swap,31657577,0xf5721635559c9ef238a7d8ac8f7917f3bd59fdfebdbff908b0a776df60a5d4e6,AFATH,1.98182695,6.971e-05,0.00013815
afath_swap,31657579,0xc5831cbc03649a7b2edc0cc399045a764db014d07424a41abf94054ad9970cc7,AFATH,1.98182695,6.847e-05,0.00013569
afath_swap,31657580,0xc492c0b03e75cfdd5abfe6db9ca8705ade804950b4b30213768bf4fe078ce722,AFATH,1.98182695,6.824e-05,0.00013523
afath_swap,31657581,0x8fab231962a893acf98b119d7e4f22722bd66860e7841eeacf68c7dec52fc722,AFATH,1.98182695,6.801e-05,0.00013478
afath_swap,31657582,0x4d23725dad5f9cd7120f93cd8cdd3156c5c88c8c150d67ad9d41c8a65cb8e4b3,AFATH,1.98182695,6.843e-05,0.00013561
afath_swap,31657583,0xb366c05bace9cc63963fc00ae456e53e83c07d50632b9401712aeb3b4cd90c61,AFATH,1.98182695,6.695e-05,0.00013269
afath_swap,31657587,0x4822b59fd952969cc7dfa6db7bb618499a0733d155322cb6a36d0f46f0506ac8,AFATH,1.98182695,6.639e-05,0.00013156
afath_swap,31657587,0xad9e7a937b3e19f6b2335569ae43d8ee0fcfdb805bac0a66d8b578597c4e28cc,AFATH,1.98182695,6.605e-05,0.0001309
afath_swap,31657590,0x44c0457998bfbe2cf2733abfe88c249d53849f3f015deceec02ede9aeb543973,AFATH,1.98182695,6.699e-05,0.00013275
afath_swap,31657613,0xe7f7be85b6f7af62aae2ab9b56fa72e6897ce5cb2ecac01a4114d7b0b3cb499d,AFATH,1.98182695,6.713e-05,0.00013304
afath_swap,31657626,0x0fca302d9cad34f15ebc16bd1c3558b9d51c72fe372b69598a973727ad28f74b,AFATH,1.98184548,6.71e-05,0.00013299
afath_swap,31657637,0x320772180bf503c3c3b2b295acec1baae13b1c1774d26c532dfb9f54f67d8400,AFATH,1.98112999,6.644e-05,0.00013163
afath_swap,31657640,0x10fd4dfae9d96bebd693c141df4b9686c8226444681c981c1bdece27fcd04439,AFATH,1.98112999,6.619e-05,0.00013114
afath_swap,31657645,0x296bfac1f95bcb0e037597809af4955cc2432db18d6d83d6a57d3869e8b4f6da,AFATH,1.98112999,6.478e-05,0.00012834
afath_swap,31657648,0x87afac2773a361db193f9b1952caf4f1145aab8c716426b16e02e59a2a4bddf2,AFATH,1.98059182,6.424e-05,0.00012723
afath_swap,31657648,0x87afac2773a361db193f9b1952caf4f1145aab8c716426b16e02e59a2a4bddf2,AFATH,1.98059182,6.391e-05,0.00012658
afath_swap,31657658,0x84de7350d9d5f7f136ba32611f0266579e7c37882fb3842d2c15b2f4467dc0dd,AFATH,1.98052916,6.436e-05,0.00012746
afath_swap,31657661,0x9ecf7cc93c14c139d29f9495db7a7a6bc97955e9b2f72dce9808345b6aee520a,AFATH,1.98052916,6.456e-05,0.00012787
afath_swap,31657676,0xc2d8583613731cd76bddf0d734d26f1df3942f0e175b43241307cf6d18ac2aad,AFATH,1.98052916,6.538e-05,0.00012948
afath_swap,31657677,0x31a1d4b18e4dd002ec0483e55f498347f2957c8de97b1632b362097d1fb5f05f,AFATH,1.98052916,6.643e-05,0.00013156
afath_swap,31657683,0x5cb44d627ebc8dfea35f86e358a723fab470ad022d93e72fd70d06cebf82f374,AFATH,1.98017075,6.678e-05,0.00013225
afath_swap,31657684,0x088ae1cc899a69df0b44eec780866f8c9133dfe5328e0d54b5c00af7381780a5,AFATH,1.98017075,6.613e-05,0.00013094
afath_swap,31657694,0x5eca263974af2af75ee777513bec7e61b07e5c1a2cc65ff49cfa1f6eeb53c52b,AFATH,1.97962993,6.627e-05,0.00013119
afath_swap,31657699,0xa72571b47579f36329cd9fa31dcc25d6a8f1b7524aae31191d2d1d31e7ff267c,AFATH,1.97962993,6.71e-05,0.00013284
afath_swap,31657710,0xd267621f548c09fe4f7fd958c3e6277289bf48a9449ac8c8c41ed6c49f0c9b04,AFATH,1.97962993,6.796e-05,0.00013453
afath_swap,31657712,0x74c32727708794622ddbc9adb9bc08a666e579d782a0a016418053409177e81d,AFATH,1.97962993,6.754e-05,0.00013371
afath_swap,31657717,0x58160e243f5d1b1e708924ba1ffcbb3e9364101b8c6c3027ac165f301f4d8cd9,AFATH,1.97962993,6.811e-05,0.00013483
afath_swap,31657717,0x971d7ddac380e28bf6b220f8b887b8c54b46b9abb19a69435525a84ae19ed6c2,AFATH,1.97962993,6.847e-05,0.00013555
afath_swap,31657727,0x559ee2aa424f4d4698ddb0225b0d0edda7c250a38608c741616f1d5a27510261,AFATH,1.97962993,6.927e-05,0.00013713
afath_swap,31657740,0x22f844d26200b9c2a49a84f541037fecd28d67c7c3f039e5684f0ac502aae336,AFATH,1.97962993,6.92e-05,0.00013699
afath_swap,31657744,0xa439db40fab666d332491b53a4b943366c8444f747e116366a98e2d3a31e84cd,AFATH,1.97962993,6.934e-05,0.00013726
afath_swap,31657744,0x1255fa8bc36ffe09c0e312f125c56a6c4ac7b862635943acc4dd71f4071c3b21,AFATH,1.97962993,6.974e-05,0.00013806
afath_swap,31657748,0xb2cd4609ad6cfddf7fdddb2aec56039a785b2722830716f51c6fe6366f7d4208,AFATH,1.97973708,6.93e-05,0.0001372
afath_swap,31657759,0x861e811f6f2c6d91c08bdb32e1e103a6aa49b605905d9e6c1b2ea2aebae5f8e0,AFATH,1.98038648,6.929e-05,0.00013722
afath_swap,31657773,0xb74a1fd7b7713cbba40234ecdc089ada6981d92458c7f3577d3b43546b53d330,AFATH,1.98103368,6.93e-05,0.00013729
afath_swap,31657800,0xc70f02bae5750cafe1d88824a98a3bc41a9d28e362a8c88b588d4febb4336e8a,AFATH,1.98120909,6.931e-05,0.00013731
afath_swap,31657841,0x6c56af6ac7dd540924bc2623623379f4710f6618ce541a1f3980603c320a53fe,AFATH,1.98120909,6.967e-05,0.00013803
afath_swap,31657847,0x7659cb4a17640073f3323548df41f5eab5cbc3e6e61a861ef927fdd184cec737,AFATH,1.98120909,6.96e-05,0.0001379
afath_swap,31657974,0xbea32843fc268e6ab6348fa51ed692b09c190a69e9f039b3c09849124adf0019,AFATH,1.98120909,6.958e-05,0.00013786
afath_swap,31657978,0x18a6a63f4578fe6aca48bfe043ec1e489dd99d0263e1bb9ee685beaee58cf7af,AFATH,1.98120909,6.955e-05,0.00013779
afath_swap,31657998,0xe124ad98cb2367f75122c47d3adfb023f6b96183c3757ee1257695e0394cb013,AFATH,1.98120908,6.892e-05,0.00013654
afath_swap,31658002,0xa29d090157d7335859169b0ba654ec196a216787e112c9624d5e976e1ab58547,AFATH,1.98120908,6.876e-05,0.00013623
afath_swap,31658097,0x23e9f6b75f9dfbe0ac86f02d47dc997c9e0cd483218a48e730cf7bb871400aec,AFATH,1.9838326,6.89e-05,0.00013669
afath_swap,31658109,0xb4681951f2407c665b0b0f83acceb62e64b395b3095b8e24ff9394a1aa4a94a7,AFATH,1.9838326,6.838e-05,0.00013566
afath_swap,31658119,0xc5dc4f7a7225ac77a9ba2fbf900180915e5a23f19bf3a80102e57bc952e50aa6,AFATH,1.9838326,6.965e-05,0.00013817
afath_swap,31658155,0x55ff80ac4718d43b40adb3c6641baf99722316de23942a12c11996cefbcef325,AFATH,1.9838326,7.074e-05,0.00014033
afath_swap,31658189,0x845d173fc2cd1a5895c55d85a6a94227b714feaa4969a6b0d025ace155fe4054,AFATH,1.9838773,7.075e-05,0.00014036
afath_swap,31658206,0xfd2410e3b3b1f6b74bd2008fffa5947e491482706e29dc692b9c6b00c499c3a5,AFATH,1.9838773,7.114e-05,0.00014113
afath_swap,31658227,0x6212fb274c034f3795c0436f2bc616a36e62a029e28df18089b58b9dec96b588,AFATH,1.98392618,7.187e-05,0.00014259
afath_swap,31658246,0xb499c5fba9afcc6ffd41695957c7d5ccd79e5e9258d2310b7df7477477e8ad70,AFATH,1.98401831,7.176e-05,0.00014238
afath_swap,31658297,0xa0f97d154de25d76a7e842eb2ea7cbb021a55c071fa4cef6928ba92a111707c7,AFATH,1.9840747,7.217e-05,0.00014319
afath_swap,31658347,0xc12a26f9788d7ab4c7b1504f66d4f69c0d2ba79ccacbed3ab1a8b7044860021c,AFATH,1.9840747,7.304e-05,0.00014492
afath_swap,31658410,0x1b0297519dfdcf5a94985911870736c147cc74442424057340e44819fdffa391,AFATH,1.98542225,7.461e-05,0.00014813
afath_swap,31658448,0x48554a9d454472390e17f9455eda85ee08915b1740be6823aa40f0d2a5578dee,AFATH,1.98866261,7.539e-05,0.00014992
afath_swap,31658484,0x561ca918d51ac9fc25b25dc62729e2d9c22518682fd700493429af5e496c202c,AFATH,1.99048598,7.597e-05,0.00015121
